scale,number_of_domes,matching_score,floor_area,material_coverage,objective
0.433333333,2.4,473.5626067,56.3915919,0.073715377,8.397752055
0.433333333,3.333333333,731.6756664,84.58731605,0.110573073,8.649945413
0.433333333,4.266666667,1021.945324,112.7830402,0.14743076,9.061161343
0.096428571,5.85,3238.766501,38.36184207,0.057491155,84.42677218
0.025,3.25,566.1772479,11.2740772,0.009378416,50.21938718
0.246428571,3.75,1236.756045,57.54235279,0.069419694,21.49296969
0.189285714,1.05,492.45916,10.80509216,0.015040932,45.57658119
0.253571429,11.75,4768.095923,172.6270584,0.218696688,27.62079113
0.067857143,9.85,6678.2001,51.78811751,0.09514338,128.9523625
0.125,14.05,10195.2343,108.3076356,0.188707324,94.13218423
0.360714286,4.75,1518.512646,111.3905719,0.146623641,13.63232651
0.260714286,8.65,2978.783185,135.2884021,0.159665361,22.01802327
0.060714286,12.45,8731.585438,57.62763233,0.119890545,151.5173379
0.160714286,13.75,9565.676961,128.894821,0.207877368,74.21304352
0.239285714,7.05,2449.165706,96.2734204,0.118784888,25.43968726
0.353571429,5.15,1384.872041,107.4476332,0.138332579,12.88880917
0.032142857,11.55,8976.359736,45.09630879,0.106004097,199.0486578
0.103571429,10.55,7534.782466,70.3300438,0.122805546,107.1346193
0.146428571,10.05,6505.068159,87.0242832,0.134982785,74.75003436
0.346428571,8.25,2249.033569,171.9162132,0.221332127,13.08214931
0.175,11.25,6648.903957,112.8397587,0.163726237,58.92341522
0.432142857,4.25,1021.945324,112.7830402,0.14743076,9.061161343
0.332142857,1.55,468.9551931,39.91017751,0.047092404,11.75026578
0.182142857,12.05,7476.824332,123.0979186,0.184677152,60.73883634
0.153571429,13.05,9061.500413,113.1315682,0.183476946,80.0970106
0.225,10.25,4287.321019,131.3529394,0.16583601,32.63970368
0.289285714,14.65,5839.755706,255.8500522,0.333985007,22.82491504
0.317857143,6.15,1494.518244,115.2552647,0.136783218,12.967028
0.017857143,13.45,10084.27097,44.6982054,0.113356037,225.6079609
0.110714286,9.45,5582.550418,61.44233252,0.094379633,90.85837384
0.396428571,4.45,1296.81681,102.2971513,0.140410208,12.67695917
0.082142857,6.25,3092.657082,33.41719709,0.048735729,92.54687261
0.117857143,14.95,11283.12419,109.117545,0.20031283,103.4033912
0.267857143,9.55,3195.492368,156.927136,0.188737852,20.36290503
0.232142857,14.35,6865.04845,183.8941543,0.256966441,37.33152082
0.217857143,4.05,1589.130601,50.12579564,0.064791708,31.70285041
0.303571429,2.45,450.872759,35.5199202,0.040910617,12.69351835
0.132142857,2.65,1467.666536,23.20877905,0.0316201,63.23755906
0.139285714,12.15,8428.919645,98.54664332,0.160140856,85.53228564
0.339285714,5.75,1480.942412,124.2915313,0.148981495,11.91507093
0.296428571,6.75,1655.926428,124.3197207,0.143187251,13.31990145
0.196428571,1.85,915.7921865,22.73282187,0.030853216,40.28502011
0.403571429,1.75,624.24939,51.14857567,0.070205104,12.204629
0.053571429,10.95,7808.837949,48.84051715,0.101630121,159.8844239
0.210714286,8.85,4288.863314,107.4764587,0.14231043,39.90514171
0.046428571,3.55,1086.885011,17.76018805,0.013591893,61.19783235
0.282142857,13.35,4299.152644,212.7786219,0.259740762,20.20481478
0.325,14.75,5442.547369,299.326875,0.381422872,18.18262182
0.089285714,5.65,3215.424508,35.84669289,0.05455506,89.69933481
0.039285714,8.35,4881.645922,32.73525256,0.058586006,149.1250423
0.010714286,8.05,5088.875979,25.06284995,0.051262744,203.0445855
0.203571429,8.55,4592.296336,102.2976984,0.138839495,44.89149225
0.275,9.15,2522.308628,147.3083356,0.170106394,17.12264698
0.167857143,8.75,5218.466142,87.52829532,0.128426485,59.62033332
0.075,6.65,3829.285388,38.98675122,0.056858341,98.22017142
